"","ID","lat","long","elav"
"1","020020",-32.64,139.65,275
"2","024501",-34.1,139.17,285
"3","024511",-34.18,139.08,415
"4","024515",-35.3,139.03,18
"5","024521",-35.12,139.27,15
"6","024535",-34.57,139.6,24
"7","025004",-34.7,139.96,68
"8","025015",-35.26,140.91,105
"9","025018",-34.79,140.5,60
"10","041011",-27.71,151.87,467
"11","041013",-28.23,152.07,456
"12","041024",-27.21,151.85,588.3
"13","041050",-26.78,151.11,356.3
"14","041079",-28.54,151.84,914.4
"15","041082",-27.72,151.63,608
"16","042003",-28.24,149.12,210
"17","042023",-26.66,150.18,304.8
"18","043026",-26.77,148.35,487.7
"19","043035",-27.15,149.07,245.7
"20","043038",-26.58,149.19,311
"21","044002",-25.8,146.58,328
"22","044026",-28.07,145.68,188.7
"23","044042",-28.97,147.8,150
"24","044054",-28.81,147.12,130
"25","044168",-25.46,146.03,350
"26","046042",-30.85,143.09,151
"27","047029",-33.39,142.57,53
"28","047031",-31.88,141.59,238
"29","047033",-33.43,142.57,48
"30","047045",-33.33,141.77,44
"31","047053",-34.11,141.91,37
"32","048031",-29.55,148.59,145
"33","048039",-29.32,145.85,133
"34","049023",-34.45,142.91,64
"35","050004",-33.11,147.8,240
"36","050018",-32.29,147.67,210
"37","050028",-32.9,147.52,264
"38","050031",-32.73,148.19,285
"39","050052",-33.07,147.23,195
"40","051033",-31.86,147.13,197
"41","051049",-31.99,147.95,215
"42","052019",-29.35,148.69,149
"43","053003",-29.92,149.79,229
"44","053018",-28.99,150.02,222
"45","054003",-30.38,150.61,500
"46","054004",-29.87,150.57,296
"47","054036",-29.24,150.89,440
"48","055045",-31.18,150.03,365
"49","055055",-30.96,150.46,290
"50","055063",-31.65,150.72,426
"51","062021",-32.6,149.6,454
"52","062026",-32.81,149.98,605
"53","063005",-33.43,149.56,713
"54","064008",-31.27,149.27,505
"55","065022",-33.16,148.59,530
"56","070028",-34.74,148.89,595
"57","072150",-35.16,147.46,212
"58","073012",-34.75,148.32,380
"59","073038",-34.41,147.52,270
"60","074007",-34.48,146.55,225
"61","074128",-35.55,144.95,93
"62","075012",-35.42,144.6,84
"63","075050",-33.61,146.32,192
"64","075056",-34.94,144.73,87
"65","076031",-34.23,142.08,50
"66","076063",-35.09,141.26,60
"67","077008",-35.93,142.85,100
"68","077030",-36.01,143.03,100
"69","077039",-35.5,142.85,54
"70","078043",-36.11,141.42,130
"71","079010",-36.78,142.4,146
"72","079036",-36.74,141.94,122
"73","080004",-35.98,143.85,88
"74","080009",-36.48,143.35,177
"75","080065",-35.88,145.55,115
"76","082001",-36.37,146.71,580
"77","082068",-36.53,147.37,320
"78","083032",-36.85,146.32,816
